Client Address,Execution Time (seconds),CPU Load (%)
"('172.20.0.170', 54188)",1.1663219928741455,26.8
"('172.20.0.170', 54124)",1.4650418758392334,27.0
"('172.20.0.170', 54198)",1.7497408390045166,26.8
"('172.20.0.170', 54212)",1.2049174308776855,27.4
"('172.20.0.170', 54150)",2.6319029331207275,26.9
"('172.20.0.170', 54178)",2.660243511199951,28.6
"('172.20.0.170', 54136)",1.7569713592529297,27.0
"('172.20.0.170', 54214)",0.9094250202178955,27.5
"('172.20.0.170', 54148)",1.1689884662628174,25.6
"('172.20.0.170', 54222)",3.5356483459472656,27.5
"('172.20.0.170', 54152)",1.7581219673156738,26.8
"('172.20.0.170', 54166)",4.418691635131836,28.6
"('172.20.0.170', 47502)",1.1696968078613281,26.1
"('172.20.0.170', 47540)",1.491666316986084,28.1
"('172.20.0.170', 47492)",2.0443358421325684,27.3
"('172.20.0.170', 54226)",1.7526326179504395,27.7
"('172.20.0.170', 47604)",1.786614179611206,26.9
"('172.20.0.170', 47572)",1.167665719985962,27.1
"('172.20.0.170', 47554)",3.8326919078826904,27.0
"('172.20.0.170', 47570)",3.2154171466827393,27.0
"('172.20.0.170', 47606)",1.4930245876312256,26.9
"('172.20.0.170', 47510)",1.7867975234985352,37.1
"('172.20.0.170', 47526)",1.4596376419067383,41.8
"('172.20.0.170', 47588)",1.4672966003417969,28.2
"('172.20.0.170', 47616)",0.5943212509155273,26.8
"('172.20.0.170', 44074)",0.5824596881866455,0.0
"('172.20.0.170', 44136)",0.6280992031097412,0.0
"('172.20.0.170', 44120)",0.5864851474761963,2.6
"('172.20.0.170', 44126)",1.7839205265045166,27.7
"('172.20.0.170', 44148)",4.127835273742676,26.7
"('172.20.0.170', 44168)",0.5843725204467773,26.9
"('172.20.0.170', 44118)",0.8733749389648438,27.4
"('172.20.0.170', 44122)",1.7858095169067383,27.0
"('172.20.0.170', 44102)",1.4650321006774902,27.1
"('172.20.0.170', 44090)",1.7519292831420898,28.1
"('172.20.0.170', 44156)",3.835458517074585,27.4
"('172.20.0.170', 34366)",1.1712305545806885,27.5
"('172.20.0.170', 44166)",1.1716604232788086,27.4
"('172.20.0.170', 34350)",1.4608683586120605,27.2
"('172.20.0.170', 34342)",0.584925651550293,25.6
"('172.20.0.170', 34476)",0.5820112228393555,7.5
"('172.20.0.170', 34496)",0.5819137096405029,27.5
"('172.20.0.170', 34470)",2.3315751552581787,29.8
"('172.20.0.170', 34378)",0.5815165042877197,25.9
"('172.20.0.170', 34444)",1.1667797565460205,27.3
"('172.20.0.170', 34416)",2.0896191596984863,27.2
"('172.20.0.170', 34384)",1.4638371467590332,27.1
"('172.20.0.170', 34430)",2.091582775115967,27.3
"('172.20.0.170', 34400)",0.8750214576721191,27.2
"('172.20.0.170', 34458)",4.13957405090332,26.2
"('172.20.0.170', 34460)",1.459578037261963,26.2
"('172.20.0.170', 33254)",1.1719646453857422,25.6
"('172.20.0.170', 34484)",1.1681702136993408,27.9
"('172.20.0.170', 33258)",0.5814576148986816,0.0
"('172.20.0.170', 33302)",3.2081589698791504,27.1
"('172.20.0.170', 33332)",1.456092357635498,27.1
"('172.20.0.170', 33354)",3.8322641849517822,26.1
