Client Address,Execution Time (seconds),CPU Load (%)
"('172.20.0.170', 39536)",1.7535300254821777,26.6
"('172.20.0.170', 39614)",1.1995301246643066,26.7
"('172.20.0.170', 39564)",2.0463762283325195,29.1
"('172.20.0.170', 39502)",1.1667637825012207,26.4
"('172.20.0.170', 39570)",5.297426700592041,32.0
"('172.20.0.170', 39630)",0.8762404918670654,27.8
"('172.20.0.170', 39510)",2.0826635360717773,28.1
"('172.20.0.170', 39598)",2.0849063396453857,27.4
"('172.20.0.170', 39516)",0.8754293918609619,28.1
"('172.20.0.170', 39550)",1.7970433235168457,28.9
"('172.20.0.170', 39582)",3.2560651302337646,27.6
"('172.20.0.170', 50804)",0.5886561870574951,29.4
"('172.20.0.170', 39520)",0.5876345634460449,29.1
"('172.20.0.170', 50816)",0.5875396728515625,27.8
"('172.20.0.170', 50824)",0.5870490074157715,15.4
"('172.20.0.170', 50830)",0.6179063320159912,0.0
"('172.20.0.170', 50844)",1.0212860107421875,26.0
"('172.20.0.170', 50916)",0.5969223976135254,44.6
"('172.20.0.170', 50920)",0.5834579467773438,26.8
"('172.20.0.170', 50890)",0.8753740787506104,24.6
"('172.20.0.170', 53544)",0.6042068004608154,10.0
"('172.20.0.170', 50906)",3.2151288986206055,26.1
"('172.20.0.170', 50864)",1.169337511062622,27.1
"('172.20.0.170', 50884)",1.4637107849121094,26.6
"('172.20.0.170', 53550)",1.1726369857788086,23.9
"('172.20.0.170', 53538)",2.9240834712982178,25.9
"('172.20.0.170', 50868)",2.633132219314575,13.2
"('172.20.0.170', 50850)",4.681474208831787,13.2
"('172.20.0.170', 50846)",1.1670055389404297,15.0
"('172.20.0.170', 53566)",0.5827057361602783,0.0
"('172.20.0.170', 53640)",3.507011890411377,29.8
"('172.20.0.170', 53654)",2.0434865951538086,28.7
"('172.20.0.170', 53592)",4.383371591567993,26.6
"('172.20.0.170', 53588)",1.4590554237365723,28.0
"('172.20.0.170', 53628)",2.9582531452178955,30.4
"('172.20.0.170', 53656)",0.8795797824859619,27.6
"('172.20.0.170', 53612)",1.4993016719818115,29.1
"('172.20.0.170', 53564)",5.303614616394043,28.8
"('172.20.0.170', 53666)",1.2074947357177734,30.2
"('172.20.0.170', 53574)",3.7988269329071045,28.8
"('172.20.0.170', 53608)",5.6280505657196045,30.8
"('172.20.0.170', 36680)",0.5879592895507812,40.0
"('172.20.0.170', 36694)",0.614492654800415,0.0
"('172.20.0.170', 36732)",1.4601287841796875,28.2
"('172.20.0.170', 36720)",2.081552267074585,27.1
"('172.20.0.170', 36712)",5.302243947982788,27.2
"('172.20.0.170', 36742)",0.8770577907562256,27.2
"('172.20.0.170', 36702)",5.593727111816406,27.3
"('172.20.0.170', 59792)",2.3838865756988525,27.6
"('172.20.0.170', 36770)",1.466907024383545,27.6
"('172.20.0.170', 36724)",2.0887210369110107,27.4
"('172.20.0.170', 36756)",3.2503139972686768,27.4
"('172.20.0.170', 59816)",0.58780837059021,27.6
"('172.20.0.170', 36730)",4.431886672973633,27.6
"('172.20.0.170', 36752)",3.2605278491973877,27.6
"('172.20.0.170', 59804)",0.5869688987731934,26.6
"('172.20.0.170', 59824)",0.5870203971862793,25.6
"('172.20.0.170', 59906)",2.050074577331543,27.9
"('172.20.0.170', 49586)",1.1691162586212158,27.6
"('172.20.0.170', 59852)",1.4648597240447998,28.5
"('172.20.0.170', 59884)",3.5079967975616455,28.5
"('172.20.0.170', 59834)",1.7851388454437256,29.2
"('172.20.0.170', 59868)",2.3719022274017334,30.2
"('172.20.0.170', 49594)",2.339799642562866,28.0
"('172.20.0.170', 59848)",1.4895131587982178,27.6
"('172.20.0.170', 59854)",1.7606258392333984,29.2
"('172.20.0.170', 54736)",0.5844838619232178,25.6
"('172.20.0.170', 59900)",1.1737761497497559,25.6
"('172.20.0.170', 49582)",5.308418273925781,28.2
"('172.20.0.170', 59882)",1.7613959312438965,27.5
"('172.20.0.170', 54742)",1.1730296611785889,27.5
"('172.20.0.170', 54752)",0.5829770565032959,23.9
"('172.20.0.170', 54820)",1.7680397033691406,27.2
"('172.20.0.170', 54850)",0.8736398220062256,28.0
"('172.20.0.170', 54760)",2.039677619934082,28.9
"('172.20.0.170', 54812)",4.42059063911438,26.1
"('172.20.0.170', 54786)",2.077463388442993,27.5
"('172.20.0.170', 54776)",3.539970874786377,30.3
"('172.20.0.170', 54834)",1.4589431285858154,28.0
"('172.20.0.170', 41400)",0.585216760635376,27.4
"('172.20.0.170', 54768)",0.5997936725616455,26.8
"('172.20.0.170', 54854)",1.7509088516235352,27.8
"('172.20.0.170', 54762)",0.8769736289978027,27.7
"('172.20.0.170', 54800)",1.7595055103302002,27.4
"('172.20.0.170', 41402)",0.5894980430603027,15.8
"('172.20.0.170', 41428)",0.5836842060089111,22.1
"('172.20.0.170', 41404)",0.8739871978759766,27.5
"('172.20.0.170', 41412)",0.8763937950134277,26.8
"('172.20.0.170', 41468)",1.1687209606170654,26.6
"('172.20.0.170', 41430)",0.5835752487182617,27.1
"('172.20.0.170', 41482)",1.7544407844543457,26.7
"('172.20.0.170', 41460)",0.877687931060791,28.2
"('172.20.0.170', 52070)",2.0742976665496826,27.8
"('172.20.0.170', 41452)",1.198117971420288,29.2
"('172.20.0.170', 52068)",1.4610261917114258,29.4
"('172.20.0.170', 41444)",1.7567193508148193,24.4
"('172.20.0.170', 41488)",0.5867059230804443,25.0
"('172.20.0.170', 41496)",1.757298231124878,25.0
"('172.20.0.170', 52090)",0.6173751354217529,0.0
"('172.20.0.170', 52086)",0.8738722801208496,0.0
