Client Address,Execution Time (seconds),CPU Load (%)
"('172.20.0.170', 48036)",0.00013566017150878906,75.7
"('172.20.0.170', 48046)",0.0016345977783203125,75.0
"('172.20.0.170', 48064)",0.0001327991485595703,74.4
"('172.20.0.170', 48080)",0.0001289844512939453,76.3
"('172.20.0.170', 48096)",0.0005052089691162109,76.9
"('172.20.0.170', 48062)",0.0044841766357421875,76.1
"('172.20.0.170', 48118)",8.702278137207031e-05,76.9
"('172.20.0.170', 48088)",0.001399993896484375,75.6
"('172.20.0.170', 48132)",9.417533874511719e-05,76.9
"('172.20.0.170', 48154)",0.0003235340118408203,76.3
"('172.20.0.170', 48152)",0.0011444091796875,76.3
"('172.20.0.170', 48140)",0.00033736228942871094,76.9
"('172.20.0.170', 48112)",0.00011348724365234375,76.9
"('172.20.0.170', 48162)",7.176399230957031e-05,75.0
"('172.20.0.170', 48176)",0.003688335418701172,77.5
"('172.20.0.170', 48190)",0.00010728836059570312,77.5
"('172.20.0.170', 48194)",0.0004706382751464844,76.7
"('172.20.0.170', 48228)",0.00010585784912109375,76.2
"('172.20.0.170', 48200)",0.0011224746704101562,76.2
"('172.20.0.170', 48216)",0.0005590915679931641,75.6
"('172.20.0.170', 48248)",8.654594421386719e-05,75.6
"('172.20.0.170', 48198)",0.0001277923583984375,76.7
"('172.20.0.170', 48262)",0.00010943412780761719,75.6
"('172.20.0.170', 48242)",0.002972126007080078,74.4
"('172.20.0.170', 48288)",9.822845458984375e-05,75.0
"('172.20.0.170', 48302)",0.00010418891906738281,74.4
"('172.20.0.170', 48274)",0.00011181831359863281,73.8
"('172.20.0.170', 48308)",0.0007355213165283203,75.0
"('172.20.0.170', 48312)",8.392333984375e-05,75.6
"('172.20.0.170', 48326)",9.965896606445312e-05,74.4
"('172.20.0.170', 48314)",8.082389831542969e-05,75.6
"('172.20.0.170', 48340)",0.00017595291137695312,75.0
"('172.20.0.170', 48338)",0.00020265579223632812,75.0
"('172.20.0.170', 48350)",9.036064147949219e-05,77.5
"('172.20.0.170', 48368)",8.678436279296875e-05,76.7
"('172.20.0.170', 48382)",0.00010561943054199219,76.7
"('172.20.0.170', 48372)",0.0002551078796386719,78.0
"('172.20.0.170', 48394)",7.724761962890625e-05,77.5
"('172.20.0.170', 48404)",9.131431579589844e-05,76.9
"('172.20.0.170', 48352)",8.416175842285156e-05,76.9
"('172.20.0.170', 48402)",0.00010848045349121094,76.2
"('172.20.0.170', 48418)",0.0010504722595214844,74.4
"('172.20.0.170', 48444)",0.0001010894775390625,76.2
"('172.20.0.170', 48458)",0.00020766258239746094,76.3
"('172.20.0.170', 48432)",7.295608520507812e-05,76.2
"('172.20.0.170', 48472)",7.915496826171875e-05,77.5
"('172.20.0.170', 48492)",0.0008206367492675781,75.6
"('172.20.0.170', 48486)",0.0003559589385986328,75.6
"('172.20.0.170', 48498)",0.00011396408081054688,76.9
"('172.20.0.170', 48474)",7.557868957519531e-05,77.5
"('172.20.0.170', 48494)",0.003729581832885742,78.0
"('172.20.0.170', 48506)",7.557868957519531e-05,75.6
"('172.20.0.170', 48502)",0.008697748184204102,75.6
"('172.20.0.170', 48802)",0.0009503364562988281,78.6
"('172.20.0.170', 48516)",0.0006668567657470703,78.0
"('172.20.0.170', 48528)",7.390975952148438e-05,76.9
"('172.20.0.170', 48526)",7.653236389160156e-05,78.6
"('172.20.0.170', 48544)",7.319450378417969e-05,80.0
"('172.20.0.170', 48546)",7.43865966796875e-05,78.0
"('172.20.0.170', 48556)",9.274482727050781e-05,78.0
"('172.20.0.170', 48562)",0.00010156631469726562,80.5
"('172.20.0.170', 48578)",0.0007865428924560547,79.5
"('172.20.0.170', 48588)",0.0003020763397216797,78.6
"('172.20.0.170', 48600)",0.000110626220703125,79.1
"('172.20.0.170', 48606)",0.0009932518005371094,80.0
"('172.20.0.170', 48608)",9.179115295410156e-05,80.0
"('172.20.0.170', 48612)",0.00010633468627929688,78.0
"('172.20.0.170', 48628)",7.033348083496094e-05,79.5
"('172.20.0.170', 48616)",0.0011739730834960938,80.0
"('172.20.0.170', 48634)",0.0003330707550048828,79.1
"('172.20.0.170', 48646)",0.0004801750183105469,79.1
"('172.20.0.170', 48652)",9.5367431640625e-05,78.6
"('172.20.0.170', 48666)",0.001871347427368164,78.0
"('172.20.0.170', 48706)",7.319450378417969e-05,80.0
"('172.20.0.170', 48696)",8.940696716308594e-05,79.5
"('172.20.0.170', 48678)",0.0011725425720214844,80.0
"('172.20.0.170', 48692)",8.273124694824219e-05,78.6
"('172.20.0.170', 48718)",0.0002956390380859375,80.5
"('172.20.0.170', 48754)",0.0003120899200439453,80.5
"('172.20.0.170', 48742)",0.0024406909942626953,78.6
"('172.20.0.170', 48760)",0.00011205673217773438,78.0
"('172.20.0.170', 48728)",0.00010323524475097656,80.0
"('172.20.0.170', 48744)",0.0041539669036865234,78.6
"('172.20.0.170', 48786)",0.001935720443725586,77.8
"('172.20.0.170', 48776)",9.918212890625e-05,79.1
"('172.20.0.170', 48520)",7.224082946777344e-05,77.5
"('172.20.0.170', 48814)",0.001842498779296875,79.5
"('172.20.0.170', 48834)",0.00011014938354492188,77.3
"('172.20.0.170', 48860)",0.00012135505676269531,78.6
"('172.20.0.170', 48890)",6.937980651855469e-05,78.0
"('172.20.0.170', 48902)",0.0002143383026123047,78.0
"('172.20.0.170', 49200)",0.00450897216796875,78.0
"('172.20.0.170', 48844)",0.0001747608184814453,77.5
"('172.20.0.170', 48874)",7.915496826171875e-05,79.5
"('172.20.0.170', 48822)",7.510185241699219e-05,80.0
"('172.20.0.170', 48982)",0.0005941390991210938,78.0
"('172.20.0.170', 48958)",0.0012726783752441406,78.0
"('172.20.0.170', 49016)",0.0008335113525390625,78.9
"('172.20.0.170', 49010)",0.00011944770812988281,78.9
"('172.20.0.170', 48910)",0.00010037422180175781,80.0
"('172.20.0.170', 49036)",0.00011181831359863281,79.5
"('172.20.0.170', 48922)",7.2479248046875e-05,79.1
"('172.20.0.170', 48992)",7.939338684082031e-05,79.5
"('172.20.0.170', 49038)",0.004338979721069336,79.5
"('172.20.0.170', 48932)",0.0013175010681152344,79.5
"('172.20.0.170', 49030)",8.20159912109375e-05,79.5
"('172.20.0.170', 48966)",0.0005252361297607422,79.5
"('172.20.0.170', 49046)",8.749961853027344e-05,79.1
"('172.20.0.170', 49096)",0.00041413307189941406,79.5
"('172.20.0.170', 49112)",0.0001285076141357422,78.4
"('172.20.0.170', 49108)",0.00491642951965332,79.5
"('172.20.0.170', 49062)",6.842613220214844e-05,77.8
"('172.20.0.170', 48948)",0.002446413040161133,78.0
"('172.20.0.170', 50396)",0.0004737377166748047,83.7
"('172.20.0.170', 49134)",0.0005056858062744141,80.0
"('172.20.0.170', 48998)",0.00011444091796875,76.9
"('172.20.0.170', 49182)",8.821487426757812e-05,76.9
"('172.20.0.170', 49238)",0.0001289844512939453,77.5
"('172.20.0.170', 49192)",9.441375732421875e-05,76.9
"('172.20.0.170', 49070)",9.393692016601562e-05,77.5
"('172.20.0.170', 49150)",0.00026702880859375,76.9
"('172.20.0.170', 49208)",0.00011157989501953125,77.5
"('172.20.0.170', 49170)",0.0011148452758789062,77.5
"('172.20.0.170', 49154)",0.0006134510040283203,77.5
"('172.20.0.170', 49190)",0.00012135505676269531,76.9
"('172.20.0.170', 49278)",0.0028619766235351562,88.6
"('172.20.0.170', 48824)",0.00032901763916015625,79.5
"('172.20.0.170', 49236)",0.002039670944213867,78.0
"('172.20.0.170', 49214)",0.00010776519775390625,79.5
"('172.20.0.170', 49942)",0.0008449554443359375,80.0
"('172.20.0.170', 49274)",0.001950979232788086,79.1
"('172.20.0.170', 49284)",0.002729177474975586,86.8
"('172.20.0.170', 50304)",8.654594421386719e-05,79.5
"('172.20.0.170', 50326)",8.988380432128906e-05,77.5
"('172.20.0.170', 50328)",0.00011944770812988281,80.5
"('172.20.0.170', 50332)",0.0018537044525146484,80.0
"('172.20.0.170', 50340)",0.0001499652862548828,79.5
