Client Address,Execution Time (seconds),CPU Load (%)
"('172.20.0.170', 51006)",0.000102996826171875,60.0
"('172.20.0.170', 51018)",0.00010228157043457031,56.4
"('172.20.0.170', 51034)",0.00010156631469726562,57.5
"('172.20.0.170', 51050)",0.0006287097930908203,58.5
"('172.20.0.170', 51052)",0.0001533031463623047,57.8
"('172.20.0.170', 51086)",8.273124694824219e-05,55.3
"('172.20.0.170', 51060)",0.0004069805145263672,58.5
"('172.20.0.170', 51080)",9.870529174804688e-05,55.3
"('172.20.0.170', 51074)",0.0011737346649169922,57.1
"('172.20.0.170', 51098)",0.00014662742614746094,55.3
"('172.20.0.170', 51104)",7.271766662597656e-05,56.1
"('172.20.0.170', 51112)",0.00011467933654785156,55.3
"('172.20.0.170', 51130)",0.00025725364685058594,56.4
"('172.20.0.170', 51128)",0.0012047290802001953,58.5
"('172.20.0.170', 51326)",6.914138793945312e-05,53.8
"('172.20.0.170', 51146)",9.560585021972656e-05,57.1
"('172.20.0.170', 51162)",9.202957153320312e-05,56.1
"('172.20.0.170', 51392)",6.437301635742188e-05,57.5
"('172.20.0.170', 51188)",0.0033829212188720703,55.8
"('172.20.0.170', 51212)",7.748603820800781e-05,53.7
"('172.20.0.170', 51172)",0.0017704963684082031,56.1
"('172.20.0.170', 51192)",9.107589721679688e-05,54.8
"('172.20.0.170', 51228)",0.0002868175506591797,55.0
"('172.20.0.170', 51234)",0.00011110305786132812,53.7
"('172.20.0.170', 51248)",0.0014576911926269531,55.0
"('172.20.0.170', 51240)",0.0015866756439208984,53.7
"('172.20.0.170', 51266)",0.00010895729064941406,52.6
"('172.20.0.170', 51278)",7.486343383789062e-05,53.8
"('172.20.0.170', 51264)",0.0010025501251220703,54.8
"('172.20.0.170', 51286)",0.0008056163787841797,54.8
"('172.20.0.170', 51294)",0.0001971721649169922,53.7
"('172.20.0.170', 51134)",0.0006184577941894531,55.0
"('172.20.0.170', 51300)",0.000152587890625,54.8
"('172.20.0.170', 51310)",7.700920104980469e-05,54.8
"('172.20.0.170', 51350)",0.00012803077697753906,55.0
"('172.20.0.170', 51334)",0.00019240379333496094,54.8
"('172.20.0.170', 51356)",0.00030517578125,56.1
"('172.20.0.170', 51376)",0.00012874603271484375,55.0
"('172.20.0.170', 51368)",6.771087646484375e-05,55.0
"('172.20.0.170', 51362)",6.413459777832031e-05,56.1
"('172.20.0.170', 51382)",5.91278076171875e-05,57.5
"('172.20.0.170', 51408)",0.0011281967163085938,57.5
"('172.20.0.170', 51206)",0.0009648799896240234,56.1
"('172.20.0.170', 51422)",0.00027489662170410156,57.1
"('172.20.0.170', 51432)",0.0011203289031982422,56.4
"('172.20.0.170', 51450)",6.699562072753906e-05,55.3
"('172.20.0.170', 51444)",7.605552673339844e-05,56.1
"('172.20.0.170', 51460)",0.0004284381866455078,56.4
"('172.20.0.170', 51488)",0.00027632713317871094,56.1
"('172.20.0.170', 51476)",0.0018410682678222656,56.1
"('172.20.0.170', 51492)",0.0002067089080810547,55.0
"('172.20.0.170', 51498)",0.0008685588836669922,56.4
"('172.20.0.170', 51502)",0.0011572837829589844,55.0
"('172.20.0.170', 51508)",0.0015802383422851562,56.4
"('172.20.0.170', 51518)",0.0012407302856445312,55.8
"('172.20.0.170', 51520)",0.00012087821960449219,56.1
"('172.20.0.170', 51524)",0.0006303787231445312,56.1
"('172.20.0.170', 51528)",6.437301635742188e-05,54.8
"('172.20.0.170', 51532)",0.0005738735198974609,55.0
"('172.20.0.170', 51548)",0.0008273124694824219,56.1
"('172.20.0.170', 51560)",9.202957153320312e-05,56.4
"('172.20.0.170', 51562)",8.225440979003906e-05,58.1
"('172.20.0.170', 51568)",0.00010991096496582031,59.5
"('172.20.0.170', 51570)",0.0014319419860839844,58.1
"('172.20.0.170', 51580)",7.724761962890625e-05,59.5
"('172.20.0.170', 51620)",0.00019025802612304688,58.5
"('172.20.0.170', 51634)",6.031990051269531e-05,58.1
"('172.20.0.170', 51594)",0.002244234085083008,60.0
"('172.20.0.170', 51646)",6.628036499023438e-05,60.0
"('172.20.0.170', 51662)",0.0002663135528564453,58.5
"('172.20.0.170', 51642)",0.00010323524475097656,59.5
"('172.20.0.170', 51606)",0.0007414817810058594,58.5
"('172.20.0.170', 51716)",6.699562072753906e-05,61.9
"('172.20.0.170', 51686)",0.0011060237884521484,62.8
"('172.20.0.170', 51632)",0.0005621910095214844,63.6
"('172.20.0.170', 51732)",6.699562072753906e-05,63.6
"('172.20.0.170', 51700)",7.462501525878906e-05,64.3
"('172.20.0.170', 51750)",0.0005886554718017578,64.3
"('172.20.0.170', 51768)",8.416175842285156e-05,65.1
"('172.20.0.170', 51746)",0.0012116432189941406,65.1
"('172.20.0.170', 51788)",0.0020270347595214844,65.9
"('172.20.0.170', 51760)",7.295608520507812e-05,64.3
"('172.20.0.170', 51810)",9.298324584960938e-05,65.9
"('172.20.0.170', 51822)",7.152557373046875e-05,65.0
"('172.20.0.170', 51782)",9.417533874511719e-05,63.4
"('172.20.0.170', 51804)",7.748603820800781e-05,62.8
"('172.20.0.170', 51812)",0.001459360122680664,65.1
"('172.20.0.170', 51770)",0.00010800361633300781,63.6
"('172.20.0.170', 51678)",0.0014009475708007812,64.3
"('172.20.0.170', 51820)",7.82012939453125e-05,65.9
"('172.20.0.170', 51796)",6.747245788574219e-05,64.3
"('172.20.0.170', 51854)",8.726119995117188e-05,62.8
"('172.20.0.170', 51860)",0.00010085105895996094,65.9
"('172.20.0.170', 51856)",0.0038385391235351562,64.4
"('172.20.0.170', 51874)",0.0010862350463867188,65.9
"('172.20.0.170', 51878)",0.0012633800506591797,64.4
"('172.20.0.170', 51826)",0.0003452301025390625,65.2
"('172.20.0.170', 51890)",0.0012929439544677734,63.8
"('172.20.0.170', 51886)",0.001026153564453125,65.2
"('172.20.0.170', 51922)",0.00015544891357421875,63.0
"('172.20.0.170', 51938)",9.918212890625e-05,62.2
"('172.20.0.170', 51952)",0.0018224716186523438,63.6
"('172.20.0.170', 51840)",6.699562072753906e-05,58.5
"('172.20.0.170', 51924)",6.556510925292969e-05,61.4
"('172.20.0.170', 51942)",7.677078247070312e-05,60.5
"('172.20.0.170', 51980)",0.0003495216369628906,60.5
"('172.20.0.170', 51926)",0.0021758079528808594,59.5
"('172.20.0.170', 51960)",6.890296936035156e-05,59.1
"('172.20.0.170', 51994)",0.00010657310485839844,60.5
"('172.20.0.170', 52000)",0.0015523433685302734,61.4
"('172.20.0.170', 51970)",0.001447916030883789,60.5
"('172.20.0.170', 51968)",0.00028204917907714844,60.0
"('172.20.0.170', 52020)",0.001741647720336914,60.0
"('172.20.0.170', 52032)",0.0005278587341308594,60.9
"('172.20.0.170', 51906)",0.0011823177337646484,60.9
"('172.20.0.170', 52010)",0.0020592212677001953,60.0
"('172.20.0.170', 52074)",0.0011582374572753906,58.1
"('172.20.0.170', 52060)",8.082389831542969e-05,59.1
"('172.20.0.170', 52082)",7.224082946777344e-05,59.5
"('172.20.0.170', 52034)",0.0005383491516113281,59.5
"('172.20.0.170', 52080)",0.0007927417755126953,60.5
"('172.20.0.170', 52086)",0.0007548332214355469,60.0
"('172.20.0.170', 52098)",0.0005617141723632812,59.1
"('172.20.0.170', 51958)",9.5367431640625e-05,60.5
"('172.20.0.170', 52118)",0.0004899501800537109,62.2
"('172.20.0.170', 52128)",0.00045180320739746094,61.4
"('172.20.0.170', 52634)",6.222724914550781e-05,63.0
"('172.20.0.170', 52106)",0.0011692047119140625,63.3
"('172.20.0.170', 52152)",0.000110626220703125,63.8
"('172.20.0.170', 52162)",0.0004982948303222656,62.5
"('172.20.0.170', 52042)",0.0028502941131591797,63.0
"('172.20.0.170', 52188)",0.0024912357330322266,63.0
"('172.20.0.170', 52142)",0.002049684524536133,64.6
"('172.20.0.170', 52790)",0.0008559226989746094,64.4
"('172.20.0.170', 53058)",0.0001499652862548828,63.0
