Client Address,Execution Time (seconds),CPU Load (%)
"('172.20.0.170', 47300)",0.0010309219360351562,56.1
"('172.20.0.170', 47310)",7.462501525878906e-05,56.1
"('172.20.0.170', 47324)",9.250640869140625e-05,57.5
"('172.20.0.170', 47328)",0.00017380714416503906,57.8
"('172.20.0.170', 47348)",9.632110595703125e-05,56.5
"('172.20.0.170', 47336)",0.0010442733764648438,57.1
"('172.20.0.170', 47362)",0.00013136863708496094,57.8
"('172.20.0.170', 47388)",0.0016124248504638672,57.1
"('172.20.0.170', 47376)",0.0018630027770996094,57.8
"('172.20.0.170', 47390)",0.00010085105895996094,59.1
"('172.20.0.170', 47432)",8.106231689453125e-05,59.5
"('172.20.0.170', 47440)",7.271766662597656e-05,58.1
"('172.20.0.170', 47402)",8.630752563476562e-05,58.7
"('172.20.0.170', 47416)",0.0011320114135742188,59.1
"('172.20.0.170', 47462)",3.9577484130859375e-05,59.1
"('172.20.0.170', 47466)",0.0010981559753417969,58.1
"('172.20.0.170', 47480)",8.58306884765625e-05,58.1
"('172.20.0.170', 47452)",6.29425048828125e-05,60.5
"('172.20.0.170', 47678)",6.723403930664062e-05,60.0
"('172.20.0.170', 47522)",0.0001220703125,58.5
"('172.20.0.170', 47538)",0.0013000965118408203,57.1
"('172.20.0.170', 47496)",0.0009715557098388672,58.7
"('172.20.0.170', 47528)",0.00011587142944335938,58.1
"('172.20.0.170', 47558)",0.0002846717834472656,57.5
"('172.20.0.170', 47556)",0.0002620220184326172,58.5
"('172.20.0.170', 47542)",0.00035762786865234375,58.5
"('172.20.0.170', 47550)",0.0005371570587158203,58.1
"('172.20.0.170', 47584)",6.723403930664062e-05,58.5
"('172.20.0.170', 47548)",0.000141143798828125,58.1
"('172.20.0.170', 47574)",0.0017998218536376953,61.0
"('172.20.0.170', 47594)",8.034706115722656e-05,59.5
"('172.20.0.170', 47604)",6.604194641113281e-05,59.5
"('172.20.0.170', 47610)",7.05718994140625e-05,58.5
"('172.20.0.170', 47596)",0.0002491474151611328,59.5
"('172.20.0.170', 47606)",6.914138793945312e-05,60.0
"('172.20.0.170', 47640)",0.00010848045349121094,60.0
"('172.20.0.170', 47646)",7.2479248046875e-05,58.5
"('172.20.0.170', 47624)",0.0003294944763183594,59.5
"('172.20.0.170', 47512)",8.153915405273438e-05,59.1
"('172.20.0.170', 47658)",0.00028586387634277344,58.5
"('172.20.0.170', 47660)",0.0008256435394287109,61.4
"('172.20.0.170', 47698)",0.0002243518829345703,61.0
"('172.20.0.170', 47690)",0.00012159347534179688,61.0
"('172.20.0.170', 47638)",7.414817810058594e-05,59.5
"('172.20.0.170', 47670)",8.177757263183594e-05,60.0
"('172.20.0.170', 47702)",0.001257181167602539,60.0
"('172.20.0.170', 47706)",0.00011682510375976562,61.9
"('172.20.0.170', 47714)",0.00010633468627929688,60.0
"('172.20.0.170', 47724)",6.413459777832031e-05,60.0
"('172.20.0.170', 47732)",7.009506225585938e-05,60.0
"('172.20.0.170', 47726)",0.00026988983154296875,61.9
"('172.20.0.170', 47744)",0.005053520202636719,57.9
"('172.20.0.170', 47758)",0.0009717941284179688,58.5
"('172.20.0.170', 47768)",8.487701416015625e-05,57.9
"('172.20.0.170', 47770)",0.00030875205993652344,57.9
"('172.20.0.170', 47782)",5.91278076171875e-05,60.0
"('172.20.0.170', 47772)",8.130073547363281e-05,60.0
"('172.20.0.170', 47814)",6.842613220214844e-05,56.4
"('172.20.0.170', 47804)",0.0010662078857421875,56.4
"('172.20.0.170', 47822)",6.747245788574219e-05,55.3
"('172.20.0.170', 47794)",0.0009710788726806641,58.5
"('172.20.0.170', 47836)",7.486343383789062e-05,58.5
"('172.20.0.170', 47842)",0.002290964126586914,59.0
"('172.20.0.170', 47850)",0.004994630813598633,59.0
"('172.20.0.170', 47846)",0.00015020370483398438,59.0
"('172.20.0.170', 47854)",0.0032532215118408203,57.9
"('172.20.0.170', 47864)",0.0014986991882324219,57.5
"('172.20.0.170', 47876)",6.818771362304688e-05,57.5
"('172.20.0.170', 47896)",0.00080108642578125,53.8
"('172.20.0.170', 47908)",9.441375732421875e-05,52.6
"('172.20.0.170', 47916)",8.177757263183594e-05,56.4
"('172.20.0.170', 47892)",0.0009222030639648438,55.6
"('172.20.0.170', 47912)",0.0012030601501464844,55.3
"('172.20.0.170', 47948)",0.0017092227935791016,55.0
"('172.20.0.170', 47928)",8.20159912109375e-05,56.4
"('172.20.0.170', 47936)",0.0007593631744384766,55.3
"('172.20.0.170', 47956)",0.00010752677917480469,55.3
