Client Address,Execution Time (seconds),CPU Load (%)
"('172.20.0.170', 38372)",0.00010657310485839844,82.9
"('172.20.0.170', 38360)",0.0063934326171875,84.4
"('172.20.0.170', 38380)",0.00010323524475097656,84.1
"('172.20.0.170', 38404)",7.295608520507812e-05,86.0
"('172.20.0.170', 38388)",0.0020902156829833984,86.7
"('172.20.0.170', 38406)",0.0006103515625,88.1
"('172.20.0.170', 38412)",0.00042319297790527344,88.1
"('172.20.0.170', 38426)",0.002800464630126953,88.4
"('172.20.0.170', 38434)",0.0013556480407714844,88.6
"('172.20.0.170', 38450)",0.0014362335205078125,88.4
"('172.20.0.170', 38414)",0.0001728534698486328,88.6
"('172.20.0.170', 38468)",0.00157928466796875,90.0
"('172.20.0.170', 38488)",0.00011801719665527344,87.8
"('172.20.0.170', 38494)",8.749961853027344e-05,88.1
"('172.20.0.170', 38526)",7.128715515136719e-05,87.5
"('172.20.0.170', 38478)",0.002408266067504883,88.6
"('172.20.0.170', 38504)",9.131431579589844e-05,88.1
"('172.20.0.170', 38454)",0.00018072128295898438,87.2
"('172.20.0.170', 38516)",0.00011897087097167969,87.5
"('172.20.0.170', 38542)",8.0108642578125e-05,86.0
"('172.20.0.170', 38574)",0.0002167224884033203,86.8
"('172.20.0.170', 38556)",9.822845458984375e-05,88.1
"('172.20.0.170', 38558)",0.0005168914794921875,88.1
"('172.20.0.170', 38586)",8.58306884765625e-05,89.7
"('172.20.0.170', 38594)",0.0001533031463623047,87.5
"('172.20.0.170', 38608)",0.00011348724365234375,87.5
"('172.20.0.170', 38606)",0.00010824203491210938,88.1
"('172.20.0.170', 38624)",0.001245737075805664,87.5
"('172.20.0.170', 38636)",0.0006406307220458984,88.1
"('172.20.0.170', 38652)",0.00013780593872070312,87.8
"('172.20.0.170', 38642)",0.00010180473327636719,87.2
"('172.20.0.170', 38672)",0.00011110305786132812,86.8
"('172.20.0.170', 38668)",0.00033855438232421875,85.0
"('172.20.0.170', 38682)",0.001546621322631836,87.2
"('172.20.0.170', 38700)",8.58306884765625e-05,85.0
"('172.20.0.170', 38698)",8.916854858398438e-05,86.0
"('172.20.0.170', 38718)",8.702278137207031e-05,82.9
"('172.20.0.170', 38708)",8.654594421386719e-05,84.1
"('172.20.0.170', 38732)",8.273124694824219e-05,82.5
"('172.20.0.170', 38748)",0.003966093063354492,84.4
"('172.20.0.170', 38756)",0.00010251998901367188,83.7
"('172.20.0.170', 38786)",0.0008807182312011719,82.5
"('172.20.0.170', 38810)",0.00022268295288085938,82.2
"('172.20.0.170', 38796)",0.006098508834838867,83.3
